Name	Start	Duration	Time Format	Type	Description
Marker 650	00:00:04:03	00:00:00:00	30 fps	Cue	
Marker 651	00:00:06:18	00:00:00:00	30 fps	Cue	
Marker 652	00:00:09:04	00:00:00:00	30 fps	Cue	
Marker 653	00:00:11:20	00:00:00:00	30 fps	Cue	
Marker 654	00:00:14:06	00:00:00:00	30 fps	Cue	
Marker 655	00:00:16:22	00:00:00:00	30 fps	Cue	
Marker 656	00:00:19:07	00:00:00:00	30 fps	Cue	
Marker 657	00:00:21:23	00:00:00:00	30 fps	Cue	
Marker 658	00:00:24:09	00:00:00:00	30 fps	Cue	
Marker 659	00:00:26:25	00:00:00:00	30 fps	Cue	
Marker 660	00:00:29:11	00:00:00:00	30 fps	Cue	
Marker 661	00:00:31:26	00:00:00:00	30 fps	Cue	
Marker 662	00:00:34:12	00:00:00:00	30 fps	Cue	
Marker 663	00:00:36:28	00:00:00:00	30 fps	Cue	
Marker 664	00:00:39:14	00:00:00:00	30 fps	Cue	
Marker 665	00:00:42:00	00:00:00:00	30 fps	Cue	
Marker 666	00:00:44:15	00:00:00:00	30 fps	Cue	
Marker 667	00:00:47:01	00:00:00:00	30 fps	Cue	
Marker 668	00:00:49:17	00:00:00:00	30 fps	Cue	
Marker 669	00:00:52:03	00:00:00:00	30 fps	Cue	
Marker 670	00:00:54:18	00:00:00:00	30 fps	Cue	
Marker 671	00:00:57:04	00:00:00:00	30 fps	Cue	
Marker 672	00:00:59:20	00:00:00:00	30 fps	Cue	
Marker 673	00:01:02:06	00:00:00:00	30 fps	Cue	
Marker 674	00:01:04:22	00:00:00:00	30 fps	Cue	
Marker 675	00:01:07:07	00:00:00:00	30 fps	Cue	
Marker 676	00:01:09:23	00:00:00:00	30 fps	Cue	
Marker 677	00:01:12:09	00:00:00:00	30 fps	Cue	
Marker 678	00:01:14:25	00:00:00:00	30 fps	Cue	
Marker 680	00:01:17:11	00:00:00:00	30 fps	Cue	
Marker 681	00:01:19:26	00:00:00:00	30 fps	Cue	
Marker 682	00:01:22:12	00:00:00:00	30 fps	Cue	
Marker 683	00:01:24:28	00:00:00:00	30 fps	Cue	
Marker 684	00:01:27:14	00:00:00:00	30 fps	Cue	
Marker 685	00:01:30:00	00:00:00:00	30 fps	Cue	
Marker 687	00:01:32:15	00:00:00:00	30 fps	Cue	
Marker 688	00:01:35:01	00:00:00:00	30 fps	Cue	
Marker 689	00:01:37:17	00:00:00:00	30 fps	Cue	
Marker 690	00:01:40:03	00:00:00:00	30 fps	Cue	
Marker 691	00:01:42:18	00:00:00:00	30 fps	Cue	
Marker 692	00:01:45:04	00:00:00:00	30 fps	Cue	
Marker 693	00:01:47:20	00:00:00:00	30 fps	Cue	
Marker 694	00:01:50:06	00:00:00:00	30 fps	Cue	
Marker 695	00:01:52:22	00:00:00:00	30 fps	Cue	
Marker 696	00:01:55:07	00:00:00:00	30 fps	Cue	
Marker 697	00:01:57:23	00:00:00:00	30 fps	Cue	
Marker 698	00:02:00:09	00:00:00:00	30 fps	Cue	
Marker 699	00:02:02:25	00:00:00:00	30 fps	Cue	
Marker 700	00:02:05:11	00:00:00:00	30 fps	Cue	
Marker 701	00:02:07:26	00:00:00:00	30 fps	Cue	
Marker 702	00:02:10:12	00:00:00:00	30 fps	Cue	
Marker 703	00:02:12:28	00:00:00:00	30 fps	Cue	
Marker 704	00:02:15:14	00:00:00:00	30 fps	Cue	
Marker 705	00:02:18:00	00:00:00:00	30 fps	Cue	
Marker 706	00:02:20:15	00:00:00:00	30 fps	Cue	
Marker 707	00:02:23:01	00:00:00:00	30 fps	Cue	
Marker 708	00:02:25:17	00:00:00:00	30 fps	Cue	
Marker 709	00:02:28:03	00:00:00:00	30 fps	Cue	
Marker 710	00:02:30:18	00:00:00:00	30 fps	Cue	
Marker 712	00:02:33:04	00:00:00:00	30 fps	Cue	
Marker 713	00:02:35:20	00:00:00:00	30 fps	Cue	
Marker 714	00:02:38:06	00:00:00:00	30 fps	Cue	
